10 LUGLUIO PICCOLA STORIA CREMONESE;BOLDORI GIANLUIGI;STORIA
IL SEGRETO ETRUSCO;BOLDRINI GIULIANA;NARRATIVA
MAJA DELLE STREGHE;BOLDRINI GIULIANA;NARRATIVA
SACRIFICIO;BOLTON SHARON;THRILLER
LA SIGNORA DEI GELSOMINI;BOMANN CORINA;NARRATIVA ROSA
L'ANNO DEI FIORI DI PAPAVERO;BOMANN CORINA;NARRATIVA ROSA
L'ISOLA DELLE FARFALLE;BOMANN CORINA;NARRATIVA
UN SOGNO TRA I FIOCCHI DI NEVE;BOMANN CORINA;NARRATIVA ROSA
UN'ESTATE MAGICA;BOMANN CORINA;NARRATIVA ROSA
L'UNIVERSO;BON P.;NARR. BAMBINI
Vicobellignano e il Casalasco dalle origini al 1200;Bonaglia-Bonazzi;Territorio cremonese/lombardo
L'ORSO DEL PERU';BOND MICHAEL;NARR. RAGAZZI
CREMONA GUIDA ALLA CITTA';BONI;STORIA
CREMONA UNA CITTA' SEGRETA;BONOMETTI PIETRO;Storia dell'arte
IL SEMPIONE FERROVIARIO;BONZANI GIACOMO;STORIA
SISTER;BOOTH PAT;NARRATIVA ROSA 
IL PASSO DEL SERPENTE;BOOTH STEPHEN;IL GIALLO - A
LINEE D'OMBRA;BORALEVI ANTONELLA;NARRATIVA
PERCHE' SONO USCITO DALLA CASTA;BORDON WILLER;NARRATIVA
LA MAREA NASCONDE OGNI COSA;BORJLIND CILLA &ROLF;THRILLER
L'AMORE MI PERSEGUITA;BOSCO FEDERICA;NARRATIVA
MI PIACI DA MORIRE;BOSCO FEDERICA;NARRATIVA ROSA
DI BUONA FAMIGLIA;BOSSI FEDRIGOTTI ISABELLA;NARRATIVA
DORMIRE;BOUCHER JOELLE;NARR. BAMBINI
IL PARADISO DELLA COTOLETTA;BOUDOU KHALID;NARRATIVA
ANIMALI;BOUKOBZA LAURENCE;NARR. BAMBINI
IL CODICE DEI GIUSTI;BOURNE SAM;THRILLER
ASSASSIN'S CREED;BOWDEN OLIVER;NARRATIVA
DAMIGELLA SPIA;BOWEN RHYS;GIALLO
